PassengerId,Survived,Pclass,Sex,Fare,Embarked,Agecut,Title,Familysize
159,0,3,male,8.6625,S,adult,Mr,alone
160,0,3,male,69.55,S,adult,Master,
161,0,3,male,16.1,S,adult,Mr,midfamily
162,1,2,female,15.75,S,adult,Mrs,alone
163,0,3,male,7.775,S,adult,Mr,alone
164,0,3,male,8.6625,S,adult,Mr,alone
165,0,3,male,39.6875,S,child,Master,largefamily
166,1,3,male,20.525,S,child,Master,midfamily
167,1,1,female,55.0,S,adult,Mrs,midfamily
168,0,3,female,27.9,S,adult,Mrs,largefamily
169,0,1,male,25.925,S,adult,Mr,alone
170,0,3,male,56.4958,S,adult,Mr,alone
171,0,1,male,33.5,S,old,Mr,alone
172,0,3,male,29.125,Q,child,Master,largefamily
173,1,3,female,11.1333,S,child,Miss,midfamily
174,0,3,male,7.925,S,adult,Mr,alone
175,0,1,male,30.6958,C,adult,Mr,alone
176,0,3,male,7.8542,S,adult,Mr,midfamily
177,0,3,male,25.4667,S,adult,Master,largefamily
178,0,1,female,28.7125,C,adult,Miss,alone
179,0,2,male,13.0,S,adult,Mr,alone
180,0,3,male,0.0,S,adult,Mr,alone
181,0,3,female,69.55,S,adult,Miss,
182,0,2,male,15.05,C,adult,Mr,alone
183,0,3,male,31.3875,S,child,Master,largefamily
184,1,2,male,39.0,S,child,Master,largefamily
185,1,3,female,22.025,S,child,Miss,midfamily
186,0,1,male,50.0,S,adult,Mr,alone
187,1,3,female,15.5,Q,adult,Mrs,midfamily
188,1,1,male,26.55,S,adult,Mr,alone
189,0,3,male,15.5,Q,adult,Mr,midfamily
190,0,3,male,7.8958,S,adult,Mr,alone
191,1,2,female,13.0,S,adult,Mrs,alone
192,0,2,male,13.0,S,adult,Mr,alone
193,1,3,female,7.8542,S,adult,Miss,midfamily
194,1,2,male,26.0,S,child,Master,midfamily
195,1,1,female,27.7208,C,adult,Mrs,alone
196,1,1,female,146.5208,C,adult,Miss,alone
197,0,3,male,7.75,Q,adult,Mr,alone
198,0,3,male,8.4042,S,adult,Mr,midfamily
199,1,3,female,7.75,Q,adult,Miss,alone
200,0,2,female,13.0,S,adult,Miss,alone
201,0,3,male,9.5,S,adult,Mr,alone
202,0,3,male,69.55,S,adult,Mr,
203,0,3,male,6.4958,S,adult,Mr,alone
204,0,3,male,7.225,C,adult,Mr,alone
205,1,3,male,8.05,S,adult,Mr,alone
206,0,3,female,10.4625,S,child,Miss,midfamily
207,0,3,male,15.85,S,adult,Mr,midfamily
208,1,3,male,18.7875,C,adult,Mr,alone
209,1,3,female,7.75,Q,adult,Miss,alone
210,1,1,male,31.0,C,adult,Mr,alone
211,0,3,male,7.05,S,adult,Mr,alone
212,1,2,female,21.0,S,adult,Miss,alone
213,0,3,male,7.25,S,adult,Mr,alone
214,0,2,male,13.0,S,adult,Mr,alone
215,0,3,male,7.75,Q,adult,Mr,midfamily
216,1,1,female,113.275,C,adult,Miss,midfamily
217,1,3,female,7.925,S,adult,Miss,alone
218,0,2,male,27.0,S,adult,Mr,midfamily
219,1,1,female,76.2917,C,adult,Miss,alone
220,0,2,male,10.5,S,adult,Mr,alone
221,1,3,male,8.05,S,adult,Mr,alone
222,0,2,male,13.0,S,adult,Mr,alone
223,0,3,male,8.05,S,adult,Mr,alone
224,0,3,male,7.8958,S,adult,Mr,alone
225,1,1,male,90.0,S,adult,Mr,midfamily
226,0,3,male,9.35,S,adult,Mr,alone
227,1,2,male,10.5,S,adult,Mr,alone
228,0,3,male,7.25,S,adult,Mr,alone
229,0,2,male,13.0,S,adult,Mr,alone
230,0,3,female,25.4667,S,adult,Miss,largefamily
231,1,1,female,83.475,S,adult,Mrs,midfamily
232,0,3,male,7.775,S,adult,Mr,alone
233,0,2,male,13.5,S,adult,Mr,alone
234,1,3,female,31.3875,S,child,Miss,largefamily
235,0,2,male,10.5,S,adult,Mr,alone
236,0,3,female,7.55,S,adult,Miss,alone
237,0,2,male,26.0,S,adult,Mr,midfamily
238,1,2,female,26.25,S,child,Miss,midfamily
239,0,2,male,10.5,S,adult,Mr,alone
240,0,2,male,12.275,S,adult,Mr,alone
241,0,3,female,14.4542,C,adult,Miss,midfamily
242,1,3,female,15.5,Q,adult,Miss,midfamily
243,0,2,male,10.5,S,adult,Mr,alone
244,0,3,male,7.125,S,adult,Mr,alone
245,0,3,male,7.225,C,adult,Mr,alone
246,0,1,male,90.0,Q,adult,rare,midfamily
247,0,3,female,7.775,S,adult,Miss,alone
248,1,2,female,14.5,S,adult,Mrs,midfamily
249,1,1,male,52.5542,S,adult,Mr,midfamily
250,0,2,male,26.0,S,adult,rare,midfamily
251,0,3,male,7.25,S,adult,Mr,alone
252,0,3,female,10.4625,S,adult,Mrs,midfamily
253,0,1,male,26.55,S,old,Mr,alone
254,0,3,male,16.1,S,adult,Mr,midfamily
255,0,3,female,20.2125,S,adult,Mrs,midfamily
256,1,3,female,15.2458,C,adult,Mrs,midfamily
257,1,1,female,79.2,C,adult,Mrs,alone
258,1,1,female,86.5,S,adult,Miss,alone
259,1,1,female,512.3292,C,adult,Miss,alone
260,1,2,female,26.0,S,adult,Mrs,midfamily
261,0,3,male,7.75,Q,adult,Mr,alone
262,1,3,male,31.3875,S,child,Master,largefamily
263,0,1,male,79.65,S,adult,Mr,midfamily
264,0,1,male,0.0,S,adult,Mr,alone
265,0,3,female,7.75,Q,adult,Miss,alone
266,0,2,male,10.5,S,adult,Mr,alone
267,0,3,male,39.6875,S,adult,Mr,largefamily
268,1,3,male,7.775,S,adult,Mr,midfamily
269,1,1,female,153.4625,S,adult,Mrs,midfamily
270,1,1,female,135.6333,S,adult,Miss,alone
271,0,1,male,31.0,S,adult,Mr,alone
272,1,3,male,0.0,S,adult,Mr,alone
273,1,2,female,19.5,S,adult,Mrs,midfamily
274,0,1,male,29.7,C,adult,Mr,midfamily
275,1,3,female,7.75,Q,adult,Miss,alone
276,1,1,female,77.9583,S,old,Miss,midfamily
277,0,3,female,7.75,S,adult,Miss,alone
278,0,2,male,0.0,S,adult,Mr,alone
279,0,3,male,29.125,Q,child,Master,largefamily
280,1,3,female,20.25,S,adult,Mrs,midfamily
281,0,3,male,7.75,Q,old,Mr,alone
282,0,3,male,7.8542,S,adult,Mr,alone
283,0,3,male,9.5,S,adult,Mr,alone
284,1,3,male,8.05,S,adult,Mr,alone
285,0,1,male,26.0,S,adult,Mr,alone
286,0,3,male,8.6625,C,adult,Mr,alone
287,1,3,male,9.5,S,adult,Mr,alone
288,0,3,male,7.8958,S,adult,Mr,alone
289,1,2,male,13.0,S,adult,Mr,alone
290,1,3,female,7.75,Q,adult,Miss,alone
291,1,1,female,78.85,S,adult,Miss,alone
292,1,1,female,91.0792,C,adult,Mrs,midfamily
293,0,2,male,12.875,C,adult,Mr,alone
294,0,3,female,8.85,S,adult,Miss,alone
295,0,3,male,7.8958,S,adult,Mr,alone
296,0,1,male,27.7208,C,adult,Mr,alone
297,0,3,male,7.2292,C,adult,Mr,alone
298,0,1,female,151.55,S,child,Miss,largefamily
299,1,1,male,30.5,S,adult,Mr,alone
300,1,1,female,247.5208,C,adult,Mrs,midfamily
301,1,3,female,7.75,Q,adult,Miss,alone
302,1,3,male,23.25,Q,adult,Mr,midfamily
303,0,3,male,0.0,S,adult,Mr,alone
304,1,2,female,12.35,Q,adult,Miss,alone
305,0,3,male,8.05,S,adult,Mr,alone
306,1,1,male,151.55,S,child,Master,largefamily
307,1,1,female,110.8833,C,adult,Miss,alone
308,1,1,female,108.9,C,adult,Mrs,midfamily
309,0,2,male,24.0,C,adult,Mr,midfamily
310,1,1,female,56.9292,C,adult,Miss,alone
311,1,1,female,83.1583,C,adult,Miss,alone
312,1,1,female,262.375,C,adult,Miss,largefamily
313,0,2,female,26.0,S,adult,Mrs,midfamily
314,0,3,male,7.8958,S,adult,Mr,alone
315,0,2,male,26.25,S,adult,Mr,midfamily
316,1,3,female,7.8542,S,adult,Miss,alone
317,1,2,female,26.0,S,adult,Mrs,midfamily
318,0,2,male,14.0,S,adult,rare,alone
319,1,1,female,164.8667,S,adult,Miss,midfamily
320,1,1,female,134.5,C,adult,Mrs,midfamily
321,0,3,male,7.25,S,adult,Mr,alone
322,0,3,male,7.8958,S,adult,Mr,alone
323,1,2,female,12.35,Q,adult,Miss,alone
324,1,2,female,29.0,S,adult,Mrs,midfamily
325,0,3,male,69.55,S,adult,Mr,
326,1,1,female,135.6333,C,adult,Miss,alone
327,0,3,male,6.2375,S,old,Mr,alone
328,1,2,female,13.0,S,adult,Mrs,alone
329,1,3,female,20.525,S,adult,Mrs,midfamily
330,1,1,female,57.9792,C,adult,Miss,midfamily
331,1,3,female,23.25,Q,adult,Miss,midfamily
332,0,1,male,28.5,S,adult,Mr,alone
333,0,1,male,153.4625,S,adult,Mr,midfamily
334,0,3,male,18.0,S,adult,Mr,midfamily
335,1,1,female,133.65,S,adult,Mrs,midfamily
336,0,3,male,7.8958,S,adult,Mr,alone
337,0,1,male,66.6,S,adult,Mr,midfamily
338,1,1,female,134.5,C,adult,Miss,alone
339,1,3,male,8.05,S,adult,Mr,alone
340,0,1,male,35.5,S,adult,Mr,alone
341,1,2,male,26.0,S,child,Master,midfamily
342,1,1,female,263.0,S,adult,Miss,largefamily
343,0,2,male,13.0,S,adult,Mr,alone
344,0,2,male,13.0,S,adult,Mr,alone
345,0,2,male,13.0,S,adult,Mr,alone
346,1,2,female,13.0,S,adult,Miss,alone
347,1,2,female,13.0,S,adult,Miss,alone
348,1,3,female,16.1,S,adult,Mrs,midfamily
349,1,3,male,15.9,S,child,Master,midfamily
350,0,3,male,8.6625,S,adult,Mr,alone
351,0,3,male,9.225,S,adult,Mr,alone
352,0,1,male,35.0,S,adult,Mr,alone
353,0,3,male,7.2292,C,child,Mr,midfamily
354,0,3,male,17.8,S,adult,Mr,midfamily
355,0,3,male,7.225,C,adult,Mr,alone
356,0,3,male,9.5,S,adult,Mr,alone
357,1,1,female,55.0,S,adult,Miss,midfamily
358,0,2,female,13.0,S,adult,Miss,alone
359,1,3,female,7.8792,Q,adult,Miss,alone
360,1,3,female,7.8792,Q,adult,Miss,alone
361,0,3,male,27.9,S,adult,Mr,largefamily
362,0,2,male,27.7208,C,adult,Mr,midfamily
363,0,3,female,14.4542,C,adult,Mrs,midfamily
364,0,3,male,7.05,S,adult,Mr,alone
365,0,3,male,15.5,Q,adult,Mr,midfamily
366,0,3,male,7.25,S,adult,Mr,alone
367,1,1,female,75.25,C,adult,Mrs,midfamily
368,1,3,female,7.2292,C,adult,Mrs,alone
369,1,3,female,7.75,Q,adult,Miss,alone
370,1,1,female,69.3,C,adult,Mrs,alone
371,1,1,male,55.4417,C,adult,Mr,midfamily
372,0,3,male,6.4958,S,adult,Mr,midfamily
373,0,3,male,8.05,S,adult,Mr,alone
374,0,1,male,135.6333,C,adult,Mr,alone
375,0,3,female,21.075,S,child,Miss,largefamily
376,1,1,female,82.1708,C,adult,Mrs,midfamily
377,1,3,female,7.25,S,adult,Miss,alone
378,0,1,male,211.5,C,adult,Mr,midfamily
379,0,3,male,4.0125,C,adult,Mr,alone
380,0,3,male,7.775,S,adult,Mr,alone
381,1,1,female,227.525,C,adult,Miss,alone
382,1,3,female,15.7417,C,child,Miss,midfamily
383,0,3,male,7.925,S,adult,Mr,alone
384,1,1,female,52.0,S,adult,Mrs,midfamily
385,0,3,male,7.8958,S,adult,Mr,alone
386,0,2,male,73.5,S,adult,Mr,alone
387,0,3,male,46.9,S,child,Master,largefamily
388,1,2,female,13.0,S,adult,Miss,alone
389,0,3,male,7.7292,Q,adult,Mr,alone
390,1,2,female,12.0,C,adult,Miss,alone
391,1,1,male,120.0,S,adult,Mr,largefamily
392,1,3,male,7.7958,S,adult,Mr,alone
393,0,3,male,7.925,S,adult,Mr,midfamily
394,1,1,female,113.275,C,adult,Miss,midfamily
395,1,3,female,16.7,S,adult,Mrs,midfamily
396,0,3,male,7.7958,S,adult,Mr,alone
397,0,3,female,7.8542,S,adult,Miss,alone
398,0,2,male,26.0,S,adult,Mr,alone
399,0,2,male,10.5,S,adult,rare,alone
400,1,2,female,12.65,S,adult,Mrs,alone
401,1,3,male,7.925,S,adult,Mr,alone
402,0,3,male,8.05,S,adult,Mr,alone
403,0,3,female,9.825,S,adult,Miss,midfamily
404,0,3,male,15.85,S,adult,Mr,midfamily
405,0,3,female,8.6625,S,adult,Miss,alone
406,0,2,male,21.0,S,adult,Mr,midfamily
407,0,3,male,7.75,S,adult,Mr,alone
408,1,2,male,18.75,S,child,Master,midfamily
409,0,3,male,7.775,S,adult,Mr,alone
410,0,3,female,25.4667,S,adult,Miss,largefamily
411,0,3,male,7.8958,S,adult,Mr,alone
412,0,3,male,6.8583,Q,adult,Mr,alone
413,1,1,female,90.0,Q,adult,Miss,midfamily
414,0,2,male,0.0,S,adult,Mr,alone
415,1,3,male,7.925,S,adult,Mr,alone
416,0,3,female,8.05,S,adult,Mrs,alone
417,1,2,female,32.5,S,adult,Mrs,midfamily
418,1,2,female,13.0,S,adult,Miss,midfamily
419,0,2,male,13.0,S,adult,Mr,alone
420,0,3,female,24.15,S,child,Miss,midfamily
421,0,3,male,7.8958,C,adult,Mr,alone
422,0,3,male,7.7333,Q,adult,Mr,alone
423,0,3,male,7.875,S,adult,Mr,alone
424,0,3,female,14.4,S,adult,Mrs,midfamily
425,0,3,male,20.2125,S,adult,Mr,midfamily
426,0,3,male,7.25,S,adult,Mr,alone
427,1,2,female,26.0,S,adult,Mrs,midfamily
428,1,2,female,26.0,S,adult,Miss,alone
429,0,3,male,7.75,Q,adult,Mr,alone
430,1,3,male,8.05,S,adult,Mr,alone
431,1,1,male,26.55,S,adult,Mr,alone
432,1,3,female,16.1,S,adult,Mrs,midfamily
433,1,2,female,26.0,S,adult,Mrs,midfamily
434,0,3,male,7.125,S,adult,Mr,alone
435,0,1,male,55.9,S,adult,Mr,midfamily
436,1,1,female,120.0,S,child,Miss,largefamily
437,0,3,female,34.375,S,adult,Miss,largefamily
438,1,2,female,18.75,S,adult,Mrs,largefamily
439,0,1,male,263.0,S,old,Mr,largefamily
440,0,2,male,10.5,S,adult,Mr,alone
441,1,2,female,26.25,S,adult,Mrs,midfamily
442,0,3,male,9.5,S,adult,Mr,alone
443,0,3,male,7.775,S,adult,Mr,midfamily
444,1,2,female,13.0,S,adult,Miss,alone
445,1,3,male,8.1125,S,adult,Mr,alone
446,1,1,male,81.8583,S,child,Master,midfamily
447,1,2,female,19.5,S,child,Miss,midfamily
448,1,1,male,26.55,S,adult,Mr,alone
449,1,3,female,19.2583,C,child,Miss,largefamily
450,1,1,male,30.5,S,adult,rare,alone
451,0,2,male,27.75,S,adult,Mr,largefamily
452,0,3,male,19.9667,S,adult,Mr,midfamily
453,0,1,male,27.75,C,adult,Mr,alone
454,1,1,male,89.1042,C,adult,Mr,midfamily
455,0,3,male,8.05,S,adult,Mr,alone
456,1,3,male,7.8958,C,adult,Mr,alone
457,0,1,male,26.55,S,old,Mr,alone
458,1,1,female,51.8625,S,adult,Mrs,midfamily
459,1,2,female,10.5,S,adult,Miss,alone
460,0,3,male,7.75,Q,adult,Mr,alone
461,1,1,male,26.55,S,adult,Mr,alone
462,0,3,male,8.05,S,adult,Mr,alone
463,0,1,male,38.5,S,adult,Mr,alone
464,0,2,male,13.0,S,adult,Mr,alone
465,0,3,male,8.05,S,adult,Mr,alone
466,0,3,male,7.05,S,adult,Mr,alone
467,0,2,male,0.0,S,adult,Mr,alone
468,0,1,male,26.55,S,adult,Mr,alone
469,0,3,male,7.725,Q,adult,Mr,alone
470,1,3,female,19.2583,C,child,Miss,largefamily
471,0,3,male,7.25,S,adult,Mr,alone
472,0,3,male,8.6625,S,adult,Mr,alone
473,1,2,female,27.75,S,adult,Mrs,largefamily
474,1,2,female,13.7917,C,adult,Mrs,alone
475,0,3,female,9.8375,S,adult,Miss,alone
476,0,1,male,52.0,S,adult,Mr,alone
477,0,2,male,21.0,S,adult,Mr,midfamily
478,0,3,male,7.0458,S,adult,Mr,midfamily
479,0,3,male,7.5208,S,adult,Mr,alone
480,1,3,female,12.2875,S,child,Miss,midfamily
481,0,3,male,46.9,S,child,Master,largefamily
482,0,2,male,0.0,S,adult,Mr,alone
483,0,3,male,8.05,S,adult,Mr,alone
484,1,3,female,9.5875,S,old,Mrs,alone
485,1,1,male,91.0792,C,adult,Mr,midfamily
486,0,3,female,25.4667,S,adult,Miss,largefamily
487,1,1,female,90.0,S,adult,Mrs,midfamily
488,0,1,male,29.7,C,adult,Mr,alone
489,0,3,male,8.05,S,adult,Mr,alone
490,1,3,male,15.9,S,child,Master,midfamily
491,0,3,male,19.9667,S,adult,Mr,midfamily
492,0,3,male,7.25,S,adult,Mr,alone
493,0,1,male,30.5,S,adult,Mr,alone
494,0,1,male,49.5042,C,old,Mr,alone
495,0,3,male,8.05,S,adult,Mr,alone
496,0,3,male,14.4583,C,adult,Mr,alone
497,1,1,female,78.2667,C,adult,Miss,midfamily
498,0,3,male,15.1,S,adult,Mr,alone
499,0,1,female,151.55,S,adult,Mrs,largefamily
500,0,3,male,7.7958,S,adult,Mr,alone
501,0,3,male,8.6625,S,adult,Mr,alone
502,0,3,female,7.75,Q,adult,Miss,alone
503,0,3,female,7.6292,Q,adult,Miss,alone
504,0,3,female,9.5875,S,adult,Miss,alone
505,1,1,female,86.5,S,adult,Miss,alone
506,0,1,male,108.9,C,adult,Mr,midfamily
507,1,2,female,26.0,S,adult,Mrs,midfamily
508,1,1,male,26.55,S,adult,Mr,alone
509,0,3,male,22.525,S,adult,Mr,alone
510,1,3,male,56.4958,S,adult,Mr,alone
511,1,3,male,7.75,Q,adult,Mr,alone
512,0,3,male,8.05,S,adult,Mr,alone
513,1,1,male,26.2875,S,adult,Mr,alone
514,1,1,female,59.4,C,adult,Mrs,midfamily
515,0,3,male,7.4958,S,adult,Mr,alone
516,0,1,male,34.0208,S,adult,Mr,alone
517,1,2,female,10.5,S,adult,Mrs,alone
518,0,3,male,24.15,Q,adult,Mr,alone
519,1,2,female,26.0,S,adult,Mrs,midfamily
520,0,3,male,7.8958,S,adult,Mr,alone
521,1,1,female,93.5,S,adult,Miss,alone
522,0,3,male,7.8958,S,adult,Mr,alone
523,0,3,male,7.225,C,adult,Mr,alone
524,1,1,female,57.9792,C,adult,Mrs,midfamily
525,0,3,male,7.2292,C,adult,Mr,alone
526,0,3,male,7.75,Q,adult,Mr,alone
527,1,2,female,10.5,S,adult,Miss,alone
528,0,1,male,221.7792,S,adult,Mr,alone
529,0,3,male,7.925,S,adult,Mr,alone
530,0,2,male,11.5,S,adult,Mr,largefamily
531,1,2,female,26.0,S,child,Miss,midfamily
532,0,3,male,7.2292,C,adult,Mr,alone
533,0,3,male,7.2292,C,adult,Mr,midfamily
534,1,3,female,22.3583,C,adult,Mrs,midfamily
535,0,3,female,8.6625,S,adult,Miss,alone
536,1,2,female,26.25,S,child,Miss,midfamily
537,0,1,male,26.55,S,adult,rare,alone
538,1,1,female,106.425,C,adult,Miss,alone
539,0,3,male,14.5,S,adult,Mr,alone
540,1,1,female,49.5,C,adult,Miss,midfamily
541,1,1,female,71.0,S,adult,Miss,midfamily
542,0,3,female,31.275,S,child,Miss,largefamily
543,0,3,female,31.275,S,child,Miss,largefamily
544,1,2,male,26.0,S,adult,Mr,midfamily
545,0,1,male,106.425,C,adult,Mr,midfamily
546,0,1,male,26.0,S,old,Mr,alone
547,1,2,female,26.0,S,adult,Mrs,midfamily
548,1,2,male,13.8625,C,adult,Mr,alone
549,0,3,male,20.525,S,adult,Mr,midfamily
550,1,2,male,36.75,S,child,Master,midfamily
551,1,1,male,110.8833,C,adult,Mr,midfamily
552,0,2,male,26.0,S,adult,Mr,alone
553,0,3,male,7.8292,Q,adult,Mr,alone
554,1,3,male,7.225,C,adult,Mr,alone
